Complexity,Loss,Equation
1,13.404965,"x1"
2,11.012993,"exp(x1)"
3,7.8682513,"x1 * 3.387778"
4,7.166875,"exp(x1) - x4"
5,3.4529655,"(x4 - x1) * -2.654074"
7,3.1255653,"(x4 * -1.2951981) + (x1 * 3.476707)"
9,0.5808763,"(((x1 / 0.5782575) + 0.6642005) - x4) * 2.0108387"
13,0.32822698,"(((x1 + ((x1 - x4) + 0.8710968)) / 0.5554574) + x7) + -1.2165484"
15,0.22591195,"(((x7 + -0.11021263) + (((x1 + x1) - x4) / 0.37453905)) * 0.674784) - -0.7511425"
30,0.22413787,"((((((((x7 + sin(((x1 - x4) + -0.004963229) + x4)) - x7) + x7) + -0.0063822307) - x4) + x1) - x4) + (x1 + -0.40935954)) + (x1 + 0.7573466)"
